
(169396.36145436895, 79808.79009799898)
(170194.44033601394, 79807.88816449897)
(170992.51019832393, 79806.98623099897)
(171790.5710412989, 79806.08429749896)
(172588.6228649389, 79805.18236399896)
(173386.66566924387, 79804.28043049895)
(174184.69945421387, 79803.37849699895)
(174982.72421984887, 79802.47656349895)
(175780.73996614886, 79801.57462999894)
(176578.74669311385, 79800.67269649894)
(177376.74440074383, 79799.77076299893)
(178174.7330890388, 79798.86882949893)
(178972.7127579988, 79797.96689599892)
(179770.6834076238, 79797.06496249892)
(180568.64503791378, 79796.16302899891)
(181366.59764886877, 79795.2610954989)
(182164.54124048876, 79794.3591619989)
(182962.47581277374, 79793.4572284989)
(183760.40136572372, 79792.55529499889)
(184558.3178993387, 79791.65336149889)
(185356.2254136187, 79790.75142799888)
(186154.1239085637, 79789.84949449888)
(186952.01338417368, 79788.94756099887)
(187749.89384044867, 79788.04562749887)
(188547.76527738865, 79787.14369399886)
(189345.62769499363, 79786.24176049886)
(190143.48109326363, 79785.33982699885)
(190941.32547219863, 79784.43789349885)
(191739.16083179862, 79783.53595999884)
(192536.98717206361, 79782.63402649884)
(193334.8044929936, 79781.73209299883)
(194132.61279458858, 79780.83015949883)
(194930.41207684856, 79779.92822599882)
(195728.20233977356, 79779.02629249882)
(196525.98358336356, 79778.12435899882)
(197323.75580761855, 79777.22242549881)
(198121.51901253854, 79776.3204919988)
(198919.27319812353, 79775.4185584988)
(199717.0183643735, 79774.5166249988)
(200514.75451128848, 79773.61469149879)
(201312.48163886848, 79772.71275799879)
(202110.19974711348, 79771.81082449878)
(202907.90883602347, 79770.90889099878)
(203705.60890559846, 79770.00695749877)
(204503.29995583845, 79769.10502399877)
(205300.98198674343, 79768.20309049876)
(206098.6549983134, 79767.30115699876)
(206896.3189905484, 79766.39922349875)
(207693.9739634484, 79765.49728999875)
(208491.6199170134, 79764.59535649874)
(209289.25685124338, 79763.69342299874)
(210086.88476613836, 79762.79148949873)
(210884.50366169834, 79761.88955599873)
(211682.11353792332, 79760.98762249872)
(212479.71439481332, 79760.08568899872)
(213277.3062323683, 79759.18375549871)
(214074.8890505883, 79758.28182199871)
(214872.4628494733, 79757.3798884987)
(215670.02762902327, 79756.4779549987)
(216467.58338923825, 79755.5760214987)
(217265.13013011822, 79754.67408799869)
(218062.66785166322, 79753.77215449869)
(218860.19655387322, 79752.87022099868)
(219657.7162367482, 79751.96828749868)
(220455.2269002882, 79751.06635399867)
(221252.72854449318, 79750.16442049867)
(222050.22116936315, 79749.26248699866)
(222847.70477489813, 79748.36055349866)
(223645.17936109813, 79747.45861999865)
(224442.64492796312, 79746.55668649865)
(225240.1014754931, 79745.65475299864)
(226037.5490036881, 79744.75281949864)
(226834.98751254808, 79743.85088599863)
(227632.41700207305, 79742.94895249863)
(228429.83747226303, 79742.04701899862)
(229227.24892311802, 79741.14508549862)
(230024.65135463802, 79740.24315199861)
(230822.044766823, 79739.34121849861)
(231619.429159673, 79738.4392849986)
(232416.80453318797, 79737.5373514986)
(233214.17088736795, 79736.6354179986)
(234011.52822221292, 79735.73348449859)
(234808.8765377229, 79734.83155099858)
(235606.2158338979, 79733.92961749858)
(236403.5461107379, 79733.02768399857)
(237200.86736824288, 79732.12575049857)
(237998.17960641286, 79731.22381699856)
(238795.48282524783, 79730.32188349856)
(239592.7770247478, 79729.41994999856)
(240390.0622049128, 79728.51801649855)
(241187.3383657428, 79727.61608299855)
(241984.60550723778, 79726.71414949854)
(242781.86362939776, 79725.81221599854)
(243579.11273222274, 79724.91028249853)
(244376.35281571271, 79724.00834899853)
(245173.5838798677, 79723.10641549852)
(245970.8059246877, 79722.20448199852)
(246768.0189501727, 79721.30254849851)
(247565.2229563227, 79720.4006149985)
(248362.41794313767, 79719.4986814985)
